427: Skřítek| ID:38 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:71 |Začínám
411: Skřítek| ID:70 |Pracuji
419: Skřítek| ID:40 |Potřebuji pomoc
411: Skřítek| ID:71 |Pracuji
403: Skřítek| ID:72 |Začínám
427: Skřítek| ID:40 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:24 |Potřebuji pomoc
411: Skřítek| ID:72 |Pracuji
419: Skřítek| ID:39 |Potřebuji pomoc
427: Skřítek| ID:24 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:42 |Začínám
427: Skřítek| ID:39 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:74 |Začínám
411: Skřítek| ID:42 |Pracuji
403: Skřítek| ID:75 |Začínám
411: Skřítek| ID:74 |Pracuji
419: Skřítek| ID:74 |Potřebuji pomoc
411: Skřítek| ID:75 |Pracuji
403: Skřítek| ID:76 |Začínám
427: Skřítek| ID:74 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:77 |Začínám
411: Skřítek| ID:76 |Pracuji
419: Skřítek| ID:43 |Potřebuji pomoc
411: Skřítek| ID:77 |Pracuji
403: Skřítek| ID:78 |Začínám
427: Skřítek| ID:43 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:44 |Potřebuji pomoc
411: Skřítek| ID:78 |Pracuji
403: Skřítek| ID:79 |Začínám
427: Skřítek| ID:44 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:80 |Začínám
411: Skřítek| ID:79 |Pracuji
419: Skřítek| ID:45 |Potřebuji pomoc
411: Skřítek| ID:80 |Pracuji
403: Skřítek| ID:81 |Začínám
427: Skřítek| ID:45 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:46 |Potřebuji pomoc
411: Skřítek| ID:81 |Pracuji
403: Skřítek| ID:82 |Začínám
427: Skřítek| ID:46 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:83 |Začínám
411: Skřítek| ID:82 |Pracuji
403: Skřítek| ID:84 |Začínám
411: Skřítek| ID:83 |Pracuji
419: Skřítek| ID:47 |Potřebuji pomoc
411: Skřítek| ID:84 |Pracuji
403: Skřítek| ID:154 |Začínám
427: Skřítek| ID:47 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:86 |Začínám
411: Skřítek| ID:154 |Pracuji
419: Skřítek| ID:48 |Potřebuji pomoc
411: Skřítek| ID:86 |Pracuji
403: Skřítek| ID:87 |Začínám
427: Skřítek| ID:48 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:49 |Potřebuji pomoc
411: Skřítek| ID:87 |Pracuji
556: Sob| ID:1 |Začal jsem nyní, jsem na dovolené
427: Skřítek| ID:49 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:89 |Začínám
419: Skřítek| ID:50 |Potřebuji pomoc
411: Skřítek| ID:89 |Pracuji
403: Skřítek| ID:90 |Začínám
427: Skřítek| ID:50 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:51 |Potřebuji pomoc
411: Skřítek| ID:90 |Pracuji
403: Skřítek| ID:91 |Začínám
427: Skřítek| ID:51 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:92 |Začínám
411: Skřítek| ID:91 |Pracuji
403: Skřítek| ID:93 |Začínám
411: Skřítek| ID:92 |Pracuji
